CAMIS,DBA,BORO,BUILDING,STREET,ADDRESS,CITY,STATE,ZIPCODE,PHONE,CUISINE DE,INSPECTION,ACTION,VIOLATION,CRITICAL F,SCORE,GRADE,GRADE DATE,RECORD DAT,addrtype,addrlocat
41433437,NICE PIZZA,BROOKLYN,340,FRANKLIN AVENUE,340 FRANKLIN AVENUE,BROOKLYN,NY,11238,7182303933,Pizza,07/16/2014,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,A,07/16/2014,02/09/2015,Cycle Inspection / Re-inspection
41433437,NICE PIZZA,BROOKLYN,340,FRANKLIN AVENUE,340 FRANKLIN AVENUE,BROOKLYN,NY,11238,7182303933,Pizza,07/16/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,07/16/2014,02/09/2015,Cycle Inspection / Re-inspection
41433437,NICE PIZZA,BROOKLYN,340,FRANKLIN AVENUE,340 FRANKLIN AVENUE,BROOKLYN,NY,11238,7182303933,Pizza,07/16/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and und",Not Critical,7,A,07/16/2014,02/09/2015,Cycle Inspection / Re-inspection
41539657,PASHA PIZZA PITA GRILL,BROOKLYN,665,CLASSON AVENUE,665 CLASSON AVENUE,BROOKLYN,NY,11238,3474350666,Pizza,03/12/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,03/12/2014,02/09/2015,Cycle Inspection / Initial Inspection
41539657,PASHA PIZZA PITA GRILL,BROOKLYN,665,CLASSON AVENUE,665 CLASSON AVENUE,BROOKLYN,NY,11238,3474350666,Pizza,03/12/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,03/12/2014,02/09/2015,Cycle Inspection / Initial Inspection
41539657,PASHA PIZZA PITA GRILL,BROOKLYN,665,CLASSON AVENUE,665 CLASSON AVENUE,BROOKLYN,NY,11238,3474350666,Pizza,03/12/2014,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,03/12/2014,02/09/2015,Cycle Inspection / Initial Inspection
41589950,BARBONCINO,BROOKLYN,781,FRANKLIN AVENUE,781 FRANKLIN AVENUE,BROOKLYN,NY,11238,7184838834,Pizza,11/20/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,11,A,11/20/2014,02/09/2015,Cycle Inspection / Initial Inspection
41589950,BARBONCINO,BROOKLYN,781,FRANKLIN AVENUE,781 FRANKLIN AVENUE,BROOKLYN,NY,11238,7184838834,Pizza,11/20/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and und",Not Critical,11,A,11/20/2014,02/09/2015,Cycle Inspection / Initial Inspection
41630365,KINGS PIZZA,BROOKLYN,916,FULTON STREET,916 FULTON STREET,BROOKLYN,NY,11238,7186387135,Pizza,12/29/2014,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12,A,12/29/2014,02/09/2015,Cycle Inspection / Initial Inspection
41630365,KINGS PIZZA,BROOKLYN,916,FULTON STREET,916 FULTON STREET,BROOKLYN,NY,11238,7186387135,Pizza,12/29/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,12/29/2014,02/09/2015,Cycle Inspection / Initial Inspection
41656246,NEW MARIOS PIZZERIA,BROOKLYN,373,WAVERLY AVENUE,373 WAVERLY AVENUE,BROOKLYN,NY,11238,7187836565,Pizza,03/14/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,03/14/2014,02/09/2015,Cycle Inspection / Initial Inspection
41656246,NEW MARIOS PIZZERIA,BROOKLYN,373,WAVERLY AVENUE,373 WAVERLY AVENUE,BROOKLYN,NY,11238,7187836565,Pizza,03/14/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,03/14/2014,02/09/2015,Cycle Inspection / Initial Inspection
